region,Sport,Season,Event,0
Denmark,Cycling,Summer,"Cycling Men's 1,000 metres Time Trial",4
Denmark,Cycling,Summer,Cycling Men's 100 kilometres Team Time Trial,4
Denmark,Cycling,Summer,"Cycling Men's Individual Pursuit, 4,000 metres",3
Denmark,Cycling,Summer,Cycling Men's Omnium,2
Denmark,Cycling,Summer,Cycling Men's Points Race,1
Denmark,Cycling,Summer,"Cycling Men's Road Race, Individual",5
Denmark,Cycling,Summer,"Cycling Men's Road Race, Team",7
Denmark,Cycling,Summer,Cycling Men's Sprint,2
Denmark,Cycling,Summer,"Cycling Men's Tandem Sprint, 2,000 metres",4
Denmark,Cycling,Summer,"Cycling Men's Team Pursuit, 4,000 metres",20
Denmark,Diving,Summer,Diving Women's Plain High,1
Denmark,Diving,Summer,Diving Women's Platform,1
Denmark,Equestrianism,Summer,"Equestrianism Men's Three-Day Event, Individual",2
Denmark,Equestrianism,Summer,"Equestrianism Mixed Dressage, Individual",3
Denmark,Equestrianism,Summer,"Equestrianism Mixed Dressage, Team",3
Denmark,Fencing,Summer,"Fencing Men's Sabre, Individual",1
Denmark,Fencing,Summer,"Fencing Men's epee, Individual",1
Denmark,Fencing,Summer,"Fencing Women's Foil, Individual",4
Denmark,Football,Summer,Football Men's Football,65
Denmark,Gymnastics,Summer,Gymnastics Men's Team All-Around,18
Denmark,Gymnastics,Summer,"Gymnastics Men's Team All-Around, Free System",40
Denmark,Gymnastics,Summer,"Gymnastics Men's Team All-Around, Swedish System",53
Denmark,Handball,Summer,Handball Men's Handball,14
Denmark,Handball,Summer,Handball Women's Handball,45
Denmark,Hockey,Summer,Hockey Men's Hockey,12
Denmark,Rowing,Summer,Rowing Men's Coxed Fours,5
Denmark,Rowing,Summer,"Rowing Men's Coxed Fours, Inriggers",5
Denmark,Rowing,Summer,"Rowing Men's Coxed Fours, Outriggers",5
Denmark,Rowing,Summer,Rowing Men's Coxed Pairs,9
Denmark,Rowing,Summer,Rowing Men's Coxless Fours,12
Denmark,Rowing,Summer,Rowing Men's Coxless Pairs,4
Denmark,Rowing,Summer,Rowing Men's Double Sculls,2
Denmark,Rowing,Summer,Rowing Men's Lightweight Coxless Fours,24
Denmark,Rowing,Summer,Rowing Men's Lightweight Double Sculls,4
Denmark,Rowing,Summer,Rowing Women's Coxed Quadruple Sculls,5
Denmark,Rowing,Summer,Rowing Women's Coxless Pairs,2
Denmark,Rowing,Summer,Rowing Women's Single Sculls,2
Denmark,Sailing,Summer,Sailing Men's One Person Heavyweight Dinghy,1
Denmark,Sailing,Summer,Sailing Men's Skiff,2
Denmark,Sailing,Summer,Sailing Mixed 5.5 metres,3
Denmark,Sailing,Summer,Sailing Mixed 6 metres,10
Denmark,Sailing,Summer,Sailing Mixed Multihull,2
Denmark,Sailing,Summer,Sailing Mixed One Person Dinghy,5
Denmark,Sailing,Summer,Sailing Mixed Skiff,2
Denmark,Sailing,Summer,Sailing Mixed Three Person Keelboat,27
Denmark,Sailing,Summer,Sailing Mixed Two Person Heavyweight Dinghy,6
Denmark,Sailing,Summer,Sailing Women's One Person Dinghy,3
Denmark,Sailing,Summer,Sailing Women's Skiff,2
Denmark,Sailing,Summer,Sailing Women's Three Person Keelboat,3
Denmark,Shooting,Summer,"Shooting Men's Free Pistol, 30 metres",1
Denmark,Shooting,Summer,"Shooting Men's Free Rifle, Kneeling, 300 metres",1
Denmark,Shooting,Summer,"Shooting Men's Free Rifle, Prone, 300 metres",1
Denmark,Shooting,Summer,"Shooting Men's Free Rifle, Prone, 600 metres",1
Denmark,Shooting,Summer,"Shooting Men's Free Rifle, Standing, 300 metres",1
Denmark,Shooting,Summer,"Shooting Men's Free Rifle, Three Positions, 300 metres",5
Denmark,Shooting,Summer,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",6
Denmark,Shooting,Summer,"Shooting Men's Military Rifle, Standing, 300 metres",1
Denmark,Shooting,Summer,"Shooting Men's Military Rifle, Standing, 300 metres, Team",5
Denmark,Shooting,Summer,"Shooting Men's Muzzle-Loading Pistol, 25 metres",1
Denmark,Shooting,Summer,Shooting Men's Skeet,1
Denmark,Shooting,Summer,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",1
Denmark,Shooting,Summer,Shooting Mixed Skeet,2
Denmark,Swimming,Summer,Swimming Men's 100 metres Backstroke,1
Denmark,Swimming,Summer,Swimming Men's 200 metres Butterfly,1
Denmark,Swimming,Summer,Swimming Men's Underwater Swimming,1
Denmark,Swimming,Summer,Swimming Women's 100 metres Backstroke,1
Denmark,Swimming,Summer,Swimming Women's 100 metres Breaststroke,1
Denmark,Swimming,Summer,Swimming Women's 100 metres Freestyle,1
Denmark,Swimming,Summer,Swimming Women's 200 metres Breaststroke,2
Denmark,Swimming,Summer,Swimming Women's 4 x 100 metres Freestyle Relay,5
Denmark,Swimming,Summer,Swimming Women's 4 x 100 metres Medley Relay,4
Denmark,Swimming,Summer,Swimming Women's 400 metres Freestyle,2
Denmark,Swimming,Summer,Swimming Women's 50 metres Freestyle,1
Denmark,Swimming,Summer,Swimming Women's 800 metres Freestyle,1
Denmark,Table Tennis,Summer,Table Tennis Men's Doubles,2
Denmark,Tennis,Summer,"Tennis Women's Singles, Covered Courts",1
Denmark,Tug-Of-War,Summer,Tug-Of-War Men's Tug-Of-War,3
Denmark,Weightlifting,Summer,Weightlifting Men's Light-Heavyweight,1
Denmark,Weightlifting,Summer,"Weightlifting Men's Unlimited, One Hand",1
Denmark,Weightlifting,Summer,"Weightlifting Men's Unlimited, Two Hands",1
Denmark,Wrestling,Summer,"Wrestling Men's All-Around, Greco-Roman",1
Denmark,Wrestling,Summer,"Wrestling Men's Heavyweight, Greco-Roman",4
Denmark,Wrestling,Summer,"Wrestling Men's Light-Heavyweight, Greco-Roman",2
Denmark,Wrestling,Summer,"Wrestling Men's Lightweight, Greco-Roman",2
Denmark,Wrestling,Summer,"Wrestling Men's Middleweight, Greco-Roman",3
Denmark,Wrestling,Summer,"Wrestling Men's Welterweight, Greco-Roman",1
Djibouti,Athletics,Summer,Athletics Men's Marathon,1
Dominican Republic,Athletics,Summer,Athletics Men's 400 metres,1
Dominican Republic,Athletics,Summer,Athletics Men's 400 metres Hurdles,2
Dominican Republic,Boxing,Summer,Boxing Men's Bantamweight,1
Dominican Republic,Boxing,Summer,Boxing Men's Light-Welterweight,1
Dominican Republic,Taekwondo,Summer,Taekwondo Men's Flyweight,2
Ecuador,Athletics,Summer,Athletics Men's 20 kilometres Walk,2
Egypt,Boxing,Summer,Boxing Men's Heavyweight,1
Egypt,Boxing,Summer,Boxing Men's Light-Heavyweight,1
Egypt,Boxing,Summer,Boxing Men's Super-Heavyweight,1
Egypt,Diving,Summer,Diving Men's Platform,1
Egypt,Diving,Summer,Diving Men's Springboard,1
Egypt,Fencing,Summer,"Fencing Men's Foil, Individual",1
Egypt,Judo,Summer,Judo Men's Middleweight,1
Egypt,Judo,Summer,Judo Men's Open Class,1
Egypt,Taekwondo,Summer,Taekwondo Men's Flyweight,1
Egypt,Taekwondo,Summer,Taekwondo Women's Featherweight,1
Egypt,Weightlifting,Summer,Weightlifting Men's Featherweight,3
Egypt,Weightlifting,Summer,Weightlifting Men's Light-Heavyweight,2
Egypt,Weightlifting,Summer,Weightlifting Men's Lightweight,3
Egypt,Weightlifting,Summer,Weightlifting Men's Middleweight,2
Egypt,Weightlifting,Summer,Weightlifting Women's Light-Heavyweight,1
Egypt,Wrestling,Summer,"Wrestling Men's Bantamweight, Greco-Roman",1
Egypt,Wrestling,Summer,"Wrestling Men's Featherweight, Greco-Roman",1
Egypt,Wrestling,Summer,"Wrestling Men's Heavyweight, Greco-Roman",1
Egypt,Wrestling,Summer,"Wrestling Men's Light-Heavyweight, Greco-Roman",3
Eritrea,Athletics,Summer,"Athletics Men's 10,000 metres",1
Estonia,Athletics,Summer,Athletics Men's Decathlon,2
Estonia,Athletics,Summer,Athletics Men's Discus Throw,3
Estonia,Athletics,Summer,Athletics Men's Marathon,1
Estonia,Boxing,Summer,Boxing Men's Lightweight,1
Estonia,Cross Country Skiing,Winter,Cross Country Skiing Men's 15 kilometres,3
Estonia,Cross Country Skiing,Winter,Cross Country Skiing Men's 50 kilometres,1
Estonia,Cross Country Skiing,Winter,Cross Country Skiing Women's 10 kilometres,2
Estonia,Cross Country Skiing,Winter,Cross Country Skiing Women's 15 km Skiathlon,1
Estonia,Cycling,Summer,Cycling Women's Sprint,1
Estonia,Judo,Summer,Judo Men's Half-Middleweight,1
Estonia,Judo,Summer,Judo Men's Heavyweight,2
Estonia,Rowing,Summer,Rowing Men's Double Sculls,2
Estonia,Rowing,Summer,Rowing Men's Quadruple Sculls,4
Estonia,Rowing,Summer,Rowing Men's Single Sculls,1
Estonia,Sailing,Summer,Sailing Men's Two Person Dinghy,2
Estonia,Sailing,Summer,Sailing Mixed 6 metres,5
Estonia,Weightlifting,Summer,Weightlifting Men's Featherweight,1
Estonia,Weightlifting,Summer,Weightlifting Men's Heavyweight,3
Estonia,Weightlifting,Summer,Weightlifting Men's Lightweight,1
Estonia,Weightlifting,Summer,Weightlifting Men's Middleweight,2
Estonia,Wrestling,Summer,"Wrestling Men's Bantamweight, Greco-Roman",1
Estonia,Wrestling,Summer,"Wrestling Men's Featherweight, Greco-Roman",1
Estonia,Wrestling,Summer,"Wrestling Men's Heavyweight, Freestyle",1
Estonia,Wrestling,Summer,"Wrestling Men's Heavyweight, Greco-Roman",1
Estonia,Wrestling,Summer,"Wrestling Men's Light-Heavyweight, Freestyle",1
Estonia,Wrestling,Summer,"Wrestling Men's Light-Heavyweight, Greco-Roman",1
Estonia,Wrestling,Summer,"Wrestling Men's Lightweight, Freestyle",1
Estonia,Wrestling,Summer,"Wrestling Men's Lightweight, Greco-Roman",1
Estonia,Wrestling,Summer,"Wrestling Men's Middleweight, Greco-Roman",2
Estonia,Wrestling,Summer,"Wrestling Men's Super-Heavyweight, Greco-Roman",1
Ethiopia,Athletics,Summer,"Athletics Men's 10,000 metres",14
Ethiopia,Athletics,Summer,"Athletics Men's 3,000 metres Steeplechase",1
Ethiopia,Athletics,Summer,"Athletics Men's 5,000 metres",7
Ethiopia,Athletics,Summer,Athletics Men's Marathon,8
Ethiopia,Athletics,Summer,"Athletics Women's 1,500 metres",1
Ethiopia,Athletics,Summer,"Athletics Women's 10,000 metres",10
Ethiopia,Athletics,Summer,"Athletics Women's 3,000 metres Steeplechase",1
Ethiopia,Athletics,Summer,"Athletics Women's 5,000 metres",8
Ethiopia,Athletics,Summer,Athletics Women's Marathon,3
Fiji,Rugby Sevens,Summer,Rugby Sevens Men's Rugby Sevens,13
Finland,Alpine Skiing,Winter,Alpine Skiing Women's Giant Slalom,1
Finland,Archery,Summer,Archery Men's Individual,2
Finland,Archery,Summer,Archery Men's Team,3
Finland,Archery,Summer,Archery Women's Individual,1
Finland,Art Competitions,Summer,"Art Competitions Mixed Architecture, Designs For Town Planning",2
Finland,Art Competitions,Summer,"Art Competitions Mixed Literature, Epic Works",1
Finland,Art Competitions,Summer,"Art Competitions Mixed Literature, Lyric Works",1
Finland,Art Competitions,Summer,"Art Competitions Mixed Music, Compositions For Orchestra",1
Finland,Athletics,Summer,"Athletics Men's 1,500 metres",4
Finland,Athletics,Summer,"Athletics Men's 10,000 metres",15
Finland,Athletics,Summer,Athletics Men's 110 metres Hurdles,1
Finland,Athletics,Summer,"Athletics Men's 3,000 metres Steeplechase",9
Finland,Athletics,Summer,"Athletics Men's 3,000 metres, Team",6
Finland,Athletics,Summer,Athletics Men's 400 metres,1
Finland,Athletics,Summer,Athletics Men's 400 metres Hurdles,1
Finland,Athletics,Summer,"Athletics Men's 5,000 metres",13
Finland,Athletics,Summer,"Athletics Men's Cross-Country, Individual",5
Finland,Athletics,Summer,"Athletics Men's Cross-Country, Team",20
Finland,Athletics,Summer,Athletics Men's Decathlon,3
Finland,Athletics,Summer,Athletics Men's Discus Throw,6
Finland,Athletics,Summer,"Athletics Men's Discus Throw, Both Hands",2
Finland,Athletics,Summer,"Athletics Men's Discus Throw, Greek Style",2
Finland,Athletics,Summer,Athletics Men's Hammer Throw,2
Finland,Athletics,Summer,Athletics Men's Javelin Throw,22
Finland,Athletics,Summer,"Athletics Men's Javelin Throw, Both Hands",3
Finland,Athletics,Summer,Athletics Men's Long Jump,1
Finland,Athletics,Summer,Athletics Men's Marathon,5
Finland,Athletics,Summer,Athletics Men's Pentathlon,3
Finland,Athletics,Summer,Athletics Men's Pole Vault,3
Finland,Athletics,Summer,Athletics Men's Shot Put,4
Finland,Athletics,Summer,"Athletics Men's Shot Put, Both Hands",1
Finland,Athletics,Summer,Athletics Men's Triple Jump,3
Finland,Athletics,Summer,Athletics Women's Javelin Throw,3
Finland,Biathlon,Winter,Biathlon Men's 10 kilometres Sprint,2
Finland,Biathlon,Winter,Biathlon Men's 20 kilometres,2
Finland,Biathlon,Winter,Biathlon Men's 4 x 7.5 kilometres Relay,8
Finland,Boxing,Summer,Boxing Men's Bantamweight,1
Finland,Boxing,Summer,Boxing Men's Featherweight,2
Finland,Boxing,Summer,Boxing Men's Heavyweight,1
Finland,Boxing,Summer,Boxing Men's Light-Heavyweight,1
Finland,Boxing,Summer,Boxing Men's Light-Welterweight,3
Finland,Boxing,Summer,Boxing Men's Lightweight,1
Finland,Boxing,Summer,Boxing Men's Middleweight,1
Finland,Boxing,Summer,Boxing Men's Welterweight,4
Finland,Boxing,Summer,Boxing Women's Lightweight,1
Finland,Canoeing,Summer,"Canoeing Men's Canadian Singles, 1,000 metres",1
Finland,Canoeing,Summer,"Canoeing Men's Kayak Doubles, 1,000 metres",4
Finland,Canoeing,Summer,"Canoeing Men's Kayak Doubles, 10,000 metres",4
Finland,Canoeing,Summer,"Canoeing Men's Kayak Singles, 1,000 metres",1
Finland,Canoeing,Summer,"Canoeing Men's Kayak Singles, 10,000 metres",2
Finland,Canoeing,Summer,"Canoeing Men's Kayak Singles, 500 metres",1
Finland,Canoeing,Summer,"Canoeing Women's Kayak Singles, 500 metres",1
Finland,Cross Country Skiing,Winter,Cross Country Skiing Men's 10 kilometres,1
Finland,Cross Country Skiing,Winter,Cross Country Skiing Men's 15 kilometres,7
Finland,Cross Country Skiing,Winter,Cross Country Skiing Men's 18 kilometres,5
Finland,Cross Country Skiing,Winter,Cross Country Skiing Men's 30 kilometres,5
Finland,Cross Country Skiing,Winter,Cross Country Skiing Men's 4 x 10 kilometres Relay,52
Finland,Cross Country Skiing,Winter,Cross Country Skiing Men's 50 kilometres,12
Finland,Cross Country Skiing,Winter,Cross Country Skiing Men's Team Sprint,2
Finland,Cross Country Skiing,Winter,Cross Country Skiing Women's 10 kilometres,9
Finland,Cross Country Skiing,Winter,Cross Country Skiing Women's 15 kilometres,1
Finland,Cross Country Skiing,Winter,Cross Country Skiing Women's 20 kilometres,1
Finland,Cross Country Skiing,Winter,Cross Country Skiing Women's 3 x 5 kilometres Relay,12
Finland,Cross Country Skiing,Winter,Cross Country Skiing Women's 30 kilometres,2
Finland,Cross Country Skiing,Winter,Cross Country Skiing Women's 4 x 5 kilometres Relay,20
Finland,Cross Country Skiing,Winter,Cross Country Skiing Women's 5 kilometres,8
Finland,Cross Country Skiing,Winter,Cross Country Skiing Women's Team Sprint,4
Finland,Curling,Winter,Curling Men's Curling,4
Finland,Figure Skating,Summer,Figure Skating Mixed Pairs,2
Finland,Figure Skating,Winter,Figure Skating Mixed Pairs,2
Finland,Freestyle Skiing,Winter,Freestyle Skiing Men's Moguls,4
Finland,Gymnastics,Summer,Gymnastics Men's Horizontal Bar,4
Finland,Gymnastics,Summer,Gymnastics Men's Horse Vault,3
Finland,Gymnastics,Summer,Gymnastics Men's Individual All-Around,3
Finland,Gymnastics,Summer,Gymnastics Men's Parallel Bars,2
Finland,Gymnastics,Summer,Gymnastics Men's Pommelled Horse,6
Finland,Gymnastics,Summer,Gymnastics Men's Team All-Around,61
Finland,Gymnastics,Summer,"Gymnastics Men's Team All-Around, Free System",20
Finland,Ice Hockey,Winter,Ice Hockey Men's Ice Hockey,135
Finland,Ice Hockey,Winter,Ice Hockey Women's Ice Hockey,39
Finland,Military Ski Patrol,Winter,Military Ski Patrol Men's Military Ski Patrol,4
Finland,Modern Pentathlon,Summer,Modern Pentathlon Men's Individual,2
Finland,Modern Pentathlon,Summer,Modern Pentathlon Men's Team,9
Finland,Nordic Combined,Winter,Nordic Combined Men's Individual,10
Finland,Nordic Combined,Winter,Nordic Combined Men's Sprint,1
Finland,Nordic Combined,Winter,Nordic Combined Men's Team,12
Finland,Rowing,Summer,Rowing Men's Coxed Fours,5
Finland,Rowing,Summer,Rowing Men's Coxless Fours,4
Finland,Rowing,Summer,Rowing Men's Coxless Pairs,2
Finland,Rowing,Summer,Rowing Men's Single Sculls,3
Finland,Rowing,Summer,Rowing Women's Lightweight Double Sculls,2
Finland,Sailing,Summer,Sailing Mixed 10 metres,7
Finland,Sailing,Summer,Sailing Mixed 12 metres,7
Finland,Sailing,Summer,Sailing Mixed 6 metres,5
Finland,Sailing,Summer,Sailing Mixed 8 metres,5
Finland,Sailing,Summer,Sailing Mixed One Person Dinghy,3
Finland,Sailing,Summer,Sailing Mixed Skiff,2
Finland,Sailing,Summer,Sailing Mixed Two Person Dinghy,2
Finland,Sailing,Summer,Sailing Women's Three Person Keelboat,3
Finland,Sailing,Summer,Sailing Women's Windsurfer,1
Finland,Shooting,Summer,"Shooting Men's Air Rifle, 10 metres",1
Finland,Shooting,Summer,"Shooting Men's Free Pistol, 50 metres",2
Finland,Shooting,Summer,"Shooting Men's Free Rifle, Three Positions, 300 metres",2
Finland,Shooting,Summer,"Shooting Men's Military Rifle, Prone, 300 metres, Team",5
Finland,Shooting,Summer,"Shooting Men's Rapid-Fire Pistol, 25 metres",4
Finland,Shooting,Summer,"Shooting Men's Running Target, Double Shot, Team",5
Finland,Shooting,Summer,"Shooting Men's Running Target, Single And Double Shot",1
Finland,Shooting,Summer,"Shooting Men's Running Target, Single Shot",1
Finland,Shooting,Summer,"Shooting Men's Running Target, Single Shot, Team",9
Finland,Shooting,Summer,Shooting Men's Skeet,1
Finland,Shooting,Summer,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",2
Finland,Shooting,Summer,Shooting Men's Trap,1
Finland,Shooting,Summer,"Shooting Men's Trap, Team",6
Finland,Shooting,Summer,Shooting Women's Trap,1
Finland,Ski Jumping,Winter,"Ski Jumping Men's Large Hill, Individual",8
Finland,Ski Jumping,Winter,"Ski Jumping Men's Large Hill, Team",16
Finland,Ski Jumping,Winter,"Ski Jumping Men's Normal Hill, Individual",10
Finland,Snowboarding,Winter,Snowboarding Men's Halfpipe,2
Finland,Snowboarding,Winter,Snowboarding Women's Slopestyle,1
Finland,Speed Skating,Winter,"Speed Skating Men's 1,500 metres",4
Finland,Speed Skating,Winter,"Speed Skating Men's 10,000 metres",5
Finland,Speed Skating,Winter,"Speed Skating Men's 5,000 metres",5
Finland,Speed Skating,Winter,Speed Skating Men's 500 metres,3
Finland,Speed Skating,Winter,Speed Skating Men's Allround,2
Finland,Speed Skating,Winter,"Speed Skating Women's 1,000 metres",1
Finland,Speed Skating,Winter,"Speed Skating Women's 1,500 metres",2
Finland,Speed Skating,Winter,"Speed Skating Women's 3,000 metres",2
Finland,Swimming,Summer,Swimming Men's 200 metres Breaststroke,1
Finland,Swimming,Summer,Swimming Men's 200 metres Freestyle,1
Finland,Swimming,Summer,Swimming Men's 200 metres Individual Medley,1
Finland,Swimming,Summer,Swimming Men's 400 metres Breaststroke,1
Finland,Weightlifting,Summer,Weightlifting Men's Heavyweight I,1
Finland,Weightlifting,Summer,Weightlifting Men's Lightweight,1
Finland,Weightlifting,Summer,Weightlifting Men's Middle-Heavyweight,1
Finland,Wrestling,Summer,"Wrestling Men's All-Around, Greco-Roman",1
Finland,Wrestling,Summer,"Wrestling Men's Bantamweight, Freestyle",4
Finland,Wrestling,Summer,"Wrestling Men's Bantamweight, Greco-Roman",4
Finland,Wrestling,Summer,"Wrestling Men's Featherweight, Freestyle",4
Finland,Wrestling,Summer,"Wrestling Men's Featherweight, Greco-Roman",9
Finland,Wrestling,Summer,"Wrestling Men's Flyweight, Freestyle",1
Finland,Wrestling,Summer,"Wrestling Men's Flyweight, Greco-Roman",2
Finland,Wrestling,Summer,"Wrestling Men's Heavyweight, Freestyle",3
Finland,Wrestling,Summer,"Wrestling Men's Heavyweight, Greco-Roman",7
Finland,Wrestling,Summer,"Wrestling Men's Light-Heavyweight, Greco-Roman",9
Finland,Wrestling,Summer,"Wrestling Men's Lightweight, Freestyle",6
Finland,Wrestling,Summer,"Wrestling Men's Lightweight, Greco-Roman",11
Finland,Wrestling,Summer,"Wrestling Men's Middleweight A, Greco-Roman",1
Finland,Wrestling,Summer,"Wrestling Men's Middleweight B, Greco-Roman",1
Finland,Wrestling,Summer,"Wrestling Men's Middleweight, Freestyle",4
Finland,Wrestling,Summer,"Wrestling Men's Middleweight, Greco-Roman",10
Finland,Wrestling,Summer,"Wrestling Men's Welterweight, Freestyle",3
Finland,Wrestling,Summer,"Wrestling Men's Welterweight, Greco-Roman",5
France,Alpine Skiing,Winter,Alpine Skiing Men's Combined,3
France,Alpine Skiing,Winter,Alpine Skiing Men's Downhill,10
France,Alpine Skiing,Winter,Alpine Skiing Men's Giant Slalom,5
France,Alpine Skiing,Winter,Alpine Skiing Men's Slalom,7
France,Alpine Skiing,Winter,Alpine Skiing Men's Super G,1
France,Alpine Skiing,Winter,Alpine Skiing Women's Combined,1
France,Alpine Skiing,Winter,Alpine Skiing Women's Downhill,3
France,Alpine Skiing,Winter,Alpine Skiing Women's Giant Slalom,6
France,Alpine Skiing,Winter,Alpine Skiing Women's Slalom,8
France,Alpine Skiing,Winter,Alpine Skiing Women's Super G,1
France,Archery,Summer,"Archery Men's Au Chapelet, 33 metres",2
France,Archery,Summer,"Archery Men's Au Chapelet, 50 metres",3
France,Archery,Summer,"Archery Men's Au Cordon Dore, 33 metres",2
France,Archery,Summer,"Archery Men's Au Cordon Dore, 50 metres",2
France,Archery,Summer,Archery Men's Championnat Du Monde,1
France,Archery,Summer,Archery Men's Continental Style,3
France,Archery,Summer,Archery Men's Individual,2
France,Archery,Summer,Archery Men's Sur La Perche a La Herse,1
France,Archery,Summer,Archery Men's Sur La Perche a La Pyramide,2
France,Archery,Summer,"Archery Men's Target Archery, 28 metres, Individual",1
France,Archery,Summer,"Archery Men's Target Archery, 28 metres, Team",8
France,Archery,Summer,"Archery Men's Target Archery, 33 metres, Individual",1
France,Archery,Summer,"Archery Men's Target Archery, 33 metres, Team",8
France,Archery,Summer,"Archery Men's Target Archery, 50 metres, Individual",1
France,Archery,Summer,"Archery Men's Target Archery, 50 metres, Team",8
France,Archery,Summer,Archery Women's Team,3
France,Art Competitions,Summer,"Art Competitions Mixed Architecture, Architectural Designs",4
France,Art Competitions,Summer,"Art Competitions Mixed Architecture, Designs For Town Planning",1
France,Art Competitions,Summer,Art Competitions Mixed Literature,2
France,Art Competitions,Summer,"Art Competitions Mixed Literature, Lyric Works",1
France,Art Competitions,Summer,Art Competitions Mixed Painting,1
France,Art Competitions,Summer,"Art Competitions Mixed Painting, Drawings And Water Colors",1
France,Art Competitions,Summer,"Art Competitions Mixed Painting, Graphic Arts",1
France,Art Competitions,Summer,Art Competitions Mixed Sculpturing,2
France,Art Competitions,Summer,"Art Competitions Mixed Sculpturing, Statues",2
France,Athletics,Summer,"Athletics Men's 1,500 metres",5
France,Athletics,Summer,"Athletics Men's 10,000 metres",3
France,Athletics,Summer,Athletics Men's 110 metres Hurdles,3
France,Athletics,Summer,"Athletics Men's 2,500 metres Steeplechase",1
France,Athletics,Summer,Athletics Men's 200 metres,2
France,Athletics,Summer,"Athletics Men's 3 mile, Team",5
France,Athletics,Summer,"Athletics Men's 3,000 metres Steeplechase",5
France,Athletics,Summer,"Athletics Men's 4 mile, Team",1
France,Athletics,Summer,Athletics Men's 4 x 100 metres Relay,24
France,Athletics,Summer,Athletics Men's 4 x 400 metres Relay,16
France,Athletics,Summer,Athletics Men's 400 metres Hurdles,2
France,Athletics,Summer,"Athletics Men's 5,000 metres",3
France,Athletics,Summer,"Athletics Men's 5,000 metres, Team",5
France,Athletics,Summer,Athletics Men's 800 metres,1
France,Athletics,Summer,"Athletics Men's Cross-Country, Team",6
France,Athletics,Summer,Athletics Men's Decathlon,2
France,Athletics,Summer,Athletics Men's Discus Throw,1
France,Athletics,Summer,Athletics Men's High Jump,3
France,Athletics,Summer,Athletics Men's Marathon,4
France,Athletics,Summer,Athletics Men's Pole Vault,6
France,Athletics,Summer,Athletics Men's Standing Long Jump,1
France,Athletics,Summer,Athletics Men's Triple Jump,1
France,Athletics,Summer,Athletics Women's 100 metres Hurdles,2
France,Athletics,Summer,Athletics Women's 200 metres,1
France,Athletics,Summer,Athletics Women's 4 x 100 metres Relay,4
France,Athletics,Summer,Athletics Women's 400 metres,3
France,Athletics,Summer,Athletics Women's 800 metres,1
France,Athletics,Summer,Athletics Women's Discus Throw,3
France,Athletics,Summer,Athletics Women's High Jump,1
France,Athletics,Summer,Athletics Women's Shot Put,1
France,Basketball,Summer,Basketball Men's Basketball,26
France,Basketball,Summer,Basketball Women's Basketball,12
France,Biathlon,Winter,Biathlon Men's 10 kilometres Sprint,1
France,Biathlon,Winter,Biathlon Men's 12.5 kilometres Pursuit,5
France,Biathlon,Winter,Biathlon Men's 15 kilometres Mass Start,2
France,Biathlon,Winter,Biathlon Men's 20 kilometres,1
France,Biathlon,Winter,Biathlon Men's 4 x 7.5 kilometres Relay,12
France,Biathlon,Winter,Biathlon Women's 10 kilometres Pursuit,1
France,Biathlon,Winter,Biathlon Women's 15 kilometres,1
France,Biathlon,Winter,Biathlon Women's 3 x 7.5 kilometres Relay,3
France,Biathlon,Winter,Biathlon Women's 4 x 6 kilometres Relay,8
France,Biathlon,Winter,Biathlon Women's 4 x 7.5 kilometres Relay,4
France,Biathlon,Winter,Biathlon Women's 7.5 kilometres Sprint,2
France,Bobsleigh,Winter,Bobsleigh Men's Four,4
France,Boxing,Summer,Boxing Men's Bantamweight,1
France,Boxing,Summer,Boxing Men's Featherweight,4
France,Boxing,Summer,Boxing Men's Flyweight,4
France,Boxing,Summer,Boxing Men's Heavyweight,1
France,Boxing,Summer,Boxing Men's Light-Flyweight,1
France,Boxing,Summer,Boxing Men's Light-Heavyweight,2
France,Boxing,Summer,Boxing Men's Light-Middleweight,2
France,Boxing,Summer,Boxing Men's Light-Welterweight,1
France,Boxing,Summer,Boxing Men's Lightweight,2
France,Boxing,Summer,Boxing Men's Middleweight,2
France,Boxing,Summer,Boxing Men's Super-Heavyweight,1
France,Boxing,Summer,Boxing Men's Welterweight,2
France,Boxing,Summer,Boxing Women's Flyweight,1
France,Boxing,Summer,Boxing Women's Lightweight,1
France,Canoeing,Summer,"Canoeing Men's Canadian Doubles, 1,000 metres",8
France,Canoeing,Summer,"Canoeing Men's Canadian Doubles, 10,000 metres",6
France,Canoeing,Summer,"Canoeing Men's Canadian Doubles, 500 metres",2
France,Canoeing,Summer,"Canoeing Men's Canadian Doubles, Slalom",8
France,Canoeing,Summer,"Canoeing Men's Canadian Singles, 1,000 metres",1
France,Canoeing,Summer,"Canoeing Men's Canadian Singles, Slalom",6
France,Canoeing,Summer,"Canoeing Men's Folding Kayak Singles, 10 kilometres",1
France,Canoeing,Summer,"Canoeing Men's Kayak Doubles, 1,000 metres",2
France,Canoeing,Summer,"Canoeing Men's Kayak Fours, 1,000 metres",4
France,Canoeing,Summer,"Canoeing Men's Kayak Singles, 1,000 metres",3
France,Canoeing,Summer,"Canoeing Men's Kayak Singles, 200 metres",1
France,Canoeing,Summer,"Canoeing Men's Kayak Singles, 500 metres",1
