Event,Sport,Season,Year,0
Biathlon Women's 10 kilometres Pursuit,Biathlon,Winter,2006,58
Biathlon Women's 10 kilometres Pursuit,Biathlon,Winter,2010,60
Biathlon Women's 10 kilometres Pursuit,Biathlon,Winter,2014,57
Biathlon Women's 12.5 kilometres Mass Start,Biathlon,Winter,2006,30
Biathlon Women's 12.5 kilometres Mass Start,Biathlon,Winter,2010,30
Biathlon Women's 12.5 kilometres Mass Start,Biathlon,Winter,2014,30
Biathlon Women's 15 kilometres,Biathlon,Winter,1992,68
Biathlon Women's 15 kilometres,Biathlon,Winter,1994,69
Biathlon Women's 15 kilometres,Biathlon,Winter,1998,64
Biathlon Women's 15 kilometres,Biathlon,Winter,2002,71
Biathlon Women's 15 kilometres,Biathlon,Winter,2006,82
Biathlon Women's 15 kilometres,Biathlon,Winter,2010,87
Biathlon Women's 15 kilometres,Biathlon,Winter,2014,82
Biathlon Women's 3 x 7.5 kilometres Relay,Biathlon,Winter,1992,48
Biathlon Women's 4 x 6 kilometres Relay,Biathlon,Winter,2006,72
Biathlon Women's 4 x 6 kilometres Relay,Biathlon,Winter,2010,76
Biathlon Women's 4 x 6 kilometres Relay,Biathlon,Winter,2014,68
Biathlon Women's 4 x 7.5 kilometres Relay,Biathlon,Winter,1994,68
Biathlon Women's 4 x 7.5 kilometres Relay,Biathlon,Winter,1998,68
Biathlon Women's 4 x 7.5 kilometres Relay,Biathlon,Winter,2002,60
Biathlon Women's 7.5 kilometres Sprint,Biathlon,Winter,1992,69
Biathlon Women's 7.5 kilometres Sprint,Biathlon,Winter,1994,69
Biathlon Women's 7.5 kilometres Sprint,Biathlon,Winter,1998,64
Biathlon Women's 7.5 kilometres Sprint,Biathlon,Winter,2002,74
Biathlon Women's 7.5 kilometres Sprint,Biathlon,Winter,2006,83
Biathlon Women's 7.5 kilometres Sprint,Biathlon,Winter,2010,88
Biathlon Women's 7.5 kilometres Sprint,Biathlon,Winter,2014,84
Bobsleigh Men's Four,Bobsleigh,Winter,1932,28
Bobsleigh Men's Four,Bobsleigh,Winter,1936,72
Bobsleigh Men's Four,Bobsleigh,Winter,1948,60
Bobsleigh Men's Four,Bobsleigh,Winter,1952,60
Bobsleigh Men's Four,Bobsleigh,Winter,1956,85
Bobsleigh Men's Four,Bobsleigh,Winter,1964,75
Bobsleigh Men's Four,Bobsleigh,Winter,1968,76
Bobsleigh Men's Four,Bobsleigh,Winter,1972,72
Bobsleigh Men's Four,Bobsleigh,Winter,1976,85
Bobsleigh Men's Four,Bobsleigh,Winter,1980,68
Bobsleigh Men's Four,Bobsleigh,Winter,1984,96
Bobsleigh Men's Four,Bobsleigh,Winter,1988,104
Bobsleigh Men's Four,Bobsleigh,Winter,1992,124
Bobsleigh Men's Four,Bobsleigh,Winter,1994,121
Bobsleigh Men's Four,Bobsleigh,Winter,1998,128
Bobsleigh Men's Four,Bobsleigh,Winter,2002,135
Bobsleigh Men's Four,Bobsleigh,Winter,2006,101
Bobsleigh Men's Four,Bobsleigh,Winter,2010,101
Bobsleigh Men's Four,Bobsleigh,Winter,2014,124
Bobsleigh Men's Four/Five,Bobsleigh,Winter,1924,39
Bobsleigh Men's Four/Five,Bobsleigh,Winter,1928,116
Bobsleigh Men's Two,Bobsleigh,Winter,1932,24
Bobsleigh Men's Two,Bobsleigh,Winter,1936,46
Bobsleigh Men's Two,Bobsleigh,Winter,1948,32
Bobsleigh Men's Two,Bobsleigh,Winter,1952,36
Bobsleigh Men's Two,Bobsleigh,Winter,1956,50
Bobsleigh Men's Two,Bobsleigh,Winter,1964,42
Bobsleigh Men's Two,Bobsleigh,Winter,1968,44
Bobsleigh Men's Two,Bobsleigh,Winter,1972,42
Bobsleigh Men's Two,Bobsleigh,Winter,1976,48
Bobsleigh Men's Two,Bobsleigh,Winter,1980,40
Bobsleigh Men's Two,Bobsleigh,Winter,1984,56
Bobsleigh Men's Two,Bobsleigh,Winter,1988,82
Bobsleigh Men's Two,Bobsleigh,Winter,1992,92
Bobsleigh Men's Two,Bobsleigh,Winter,1994,86
Bobsleigh Men's Two,Bobsleigh,Winter,1998,76
Bobsleigh Men's Two,Bobsleigh,Winter,2002,75
Bobsleigh Men's Two,Bobsleigh,Winter,2006,58
Bobsleigh Men's Two,Bobsleigh,Winter,2010,56
Bobsleigh Men's Two,Bobsleigh,Winter,2014,60
Bobsleigh Women's Two,Bobsleigh,Winter,2002,30
Bobsleigh Women's Two,Bobsleigh,Winter,2006,32
Bobsleigh Women's Two,Bobsleigh,Winter,2010,42
Bobsleigh Women's Two,Bobsleigh,Winter,2014,39
Boxing Men's Bantamweight,Boxing,Summer,1904,2
Boxing Men's Bantamweight,Boxing,Summer,1908,6
Boxing Men's Bantamweight,Boxing,Summer,1920,12
Boxing Men's Bantamweight,Boxing,Summer,1924,21
Boxing Men's Bantamweight,Boxing,Summer,1928,18
Boxing Men's Bantamweight,Boxing,Summer,1932,10
Boxing Men's Bantamweight,Boxing,Summer,1936,24
Boxing Men's Bantamweight,Boxing,Summer,1948,30
Boxing Men's Bantamweight,Boxing,Summer,1952,23
Boxing Men's Bantamweight,Boxing,Summer,1956,18
Boxing Men's Bantamweight,Boxing,Summer,1960,32
Boxing Men's Bantamweight,Boxing,Summer,1964,32
Boxing Men's Bantamweight,Boxing,Summer,1968,39
Boxing Men's Bantamweight,Boxing,Summer,1972,38
Boxing Men's Bantamweight,Boxing,Summer,1976,27
Boxing Men's Bantamweight,Boxing,Summer,1980,33
Boxing Men's Bantamweight,Boxing,Summer,1984,35
Boxing Men's Bantamweight,Boxing,Summer,1988,48
Boxing Men's Bantamweight,Boxing,Summer,1992,31
Boxing Men's Bantamweight,Boxing,Summer,1996,31
Boxing Men's Bantamweight,Boxing,Summer,2000,28
Boxing Men's Bantamweight,Boxing,Summer,2004,27
Boxing Men's Bantamweight,Boxing,Summer,2008,27
Boxing Men's Bantamweight,Boxing,Summer,2012,27
Boxing Men's Bantamweight,Boxing,Summer,2016,28
Boxing Men's Featherweight,Boxing,Summer,1904,3
Boxing Men's Featherweight,Boxing,Summer,1908,8
Boxing Men's Featherweight,Boxing,Summer,1920,17
Boxing Men's Featherweight,Boxing,Summer,1924,24
Boxing Men's Featherweight,Boxing,Summer,1928,18
Boxing Men's Featherweight,Boxing,Summer,1932,10
Boxing Men's Featherweight,Boxing,Summer,1936,24
Boxing Men's Featherweight,Boxing,Summer,1948,30
Boxing Men's Featherweight,Boxing,Summer,1952,30
Boxing Men's Featherweight,Boxing,Summer,1956,18
Boxing Men's Featherweight,Boxing,Summer,1960,31
Boxing Men's Featherweight,Boxing,Summer,1964,32
Boxing Men's Featherweight,Boxing,Summer,1968,32
Boxing Men's Featherweight,Boxing,Summer,1972,45
Boxing Men's Featherweight,Boxing,Summer,1976,26
Boxing Men's Featherweight,Boxing,Summer,1980,35
Boxing Men's Featherweight,Boxing,Summer,1984,36
Boxing Men's Featherweight,Boxing,Summer,1988,48
Boxing Men's Featherweight,Boxing,Summer,1992,31
Boxing Men's Featherweight,Boxing,Summer,1996,31
Boxing Men's Featherweight,Boxing,Summer,2000,28
Boxing Men's Featherweight,Boxing,Summer,2004,28
Boxing Men's Featherweight,Boxing,Summer,2008,28
Boxing Men's Flyweight,Boxing,Summer,1904,2
Boxing Men's Flyweight,Boxing,Summer,1920,16
Boxing Men's Flyweight,Boxing,Summer,1924,19
Boxing Men's Flyweight,Boxing,Summer,1928,19
Boxing Men's Flyweight,Boxing,Summer,1932,12
Boxing Men's Flyweight,Boxing,Summer,1936,24
Boxing Men's Flyweight,Boxing,Summer,1948,26
Boxing Men's Flyweight,Boxing,Summer,1952,27
Boxing Men's Flyweight,Boxing,Summer,1956,19
Boxing Men's Flyweight,Boxing,Summer,1960,33
Boxing Men's Flyweight,Boxing,Summer,1964,28
Boxing Men's Flyweight,Boxing,Summer,1968,25
Boxing Men's Flyweight,Boxing,Summer,1972,36
Boxing Men's Flyweight,Boxing,Summer,1976,26
Boxing Men's Flyweight,Boxing,Summer,1980,22
Boxing Men's Flyweight,Boxing,Summer,1984,31
Boxing Men's Flyweight,Boxing,Summer,1988,44
Boxing Men's Flyweight,Boxing,Summer,1992,31
Boxing Men's Flyweight,Boxing,Summer,1996,32
Boxing Men's Flyweight,Boxing,Summer,2000,27
Boxing Men's Flyweight,Boxing,Summer,2004,27
Boxing Men's Flyweight,Boxing,Summer,2008,27
Boxing Men's Flyweight,Boxing,Summer,2012,26
Boxing Men's Flyweight,Boxing,Summer,2016,26
Boxing Men's Heavyweight,Boxing,Summer,1904,3
Boxing Men's Heavyweight,Boxing,Summer,1908,6
Boxing Men's Heavyweight,Boxing,Summer,1920,9
Boxing Men's Heavyweight,Boxing,Summer,1924,15
Boxing Men's Heavyweight,Boxing,Summer,1928,10
Boxing Men's Heavyweight,Boxing,Summer,1932,6
Boxing Men's Heavyweight,Boxing,Summer,1936,17
Boxing Men's Heavyweight,Boxing,Summer,1948,17
Boxing Men's Heavyweight,Boxing,Summer,1952,21
Boxing Men's Heavyweight,Boxing,Summer,1956,11
Boxing Men's Heavyweight,Boxing,Summer,1960,17
Boxing Men's Heavyweight,Boxing,Summer,1964,14
Boxing Men's Heavyweight,Boxing,Summer,1968,16
Boxing Men's Heavyweight,Boxing,Summer,1972,14
Boxing Men's Heavyweight,Boxing,Summer,1976,15
Boxing Men's Heavyweight,Boxing,Summer,1980,14
Boxing Men's Heavyweight,Boxing,Summer,1984,19
Boxing Men's Heavyweight,Boxing,Summer,1988,18
Boxing Men's Heavyweight,Boxing,Summer,1992,23
Boxing Men's Heavyweight,Boxing,Summer,1996,24
Boxing Men's Heavyweight,Boxing,Summer,2000,16
Boxing Men's Heavyweight,Boxing,Summer,2004,15
Boxing Men's Heavyweight,Boxing,Summer,2008,16
Boxing Men's Heavyweight,Boxing,Summer,2012,14
Boxing Men's Heavyweight,Boxing,Summer,2016,18
Boxing Men's Light-Flyweight,Boxing,Summer,1968,23
Boxing Men's Light-Flyweight,Boxing,Summer,1972,31
Boxing Men's Light-Flyweight,Boxing,Summer,1976,27
Boxing Men's Light-Flyweight,Boxing,Summer,1980,22
Boxing Men's Light-Flyweight,Boxing,Summer,1984,24
Boxing Men's Light-Flyweight,Boxing,Summer,1988,34
Boxing Men's Light-Flyweight,Boxing,Summer,1992,30
Boxing Men's Light-Flyweight,Boxing,Summer,1996,30
Boxing Men's Light-Flyweight,Boxing,Summer,2000,27
Boxing Men's Light-Flyweight,Boxing,Summer,2004,29
Boxing Men's Light-Flyweight,Boxing,Summer,2008,29
Boxing Men's Light-Flyweight,Boxing,Summer,2012,26
Boxing Men's Light-Flyweight,Boxing,Summer,2016,22
Boxing Men's Light-Heavyweight,Boxing,Summer,1920,11
Boxing Men's Light-Heavyweight,Boxing,Summer,1924,20
Boxing Men's Light-Heavyweight,Boxing,Summer,1928,16
Boxing Men's Light-Heavyweight,Boxing,Summer,1932,8
Boxing Men's Light-Heavyweight,Boxing,Summer,1936,21
Boxing Men's Light-Heavyweight,Boxing,Summer,1948,24
Boxing Men's Light-Heavyweight,Boxing,Summer,1952,18
Boxing Men's Light-Heavyweight,Boxing,Summer,1956,11
Boxing Men's Light-Heavyweight,Boxing,Summer,1960,19
Boxing Men's Light-Heavyweight,Boxing,Summer,1964,19
Boxing Men's Light-Heavyweight,Boxing,Summer,1968,18
Boxing Men's Light-Heavyweight,Boxing,Summer,1972,28
Boxing Men's Light-Heavyweight,Boxing,Summer,1976,18
Boxing Men's Light-Heavyweight,Boxing,Summer,1980,15
Boxing Men's Light-Heavyweight,Boxing,Summer,1984,24
Boxing Men's Light-Heavyweight,Boxing,Summer,1988,26
Boxing Men's Light-Heavyweight,Boxing,Summer,1992,26
Boxing Men's Light-Heavyweight,Boxing,Summer,1996,31
Boxing Men's Light-Heavyweight,Boxing,Summer,2000,28
Boxing Men's Light-Heavyweight,Boxing,Summer,2004,28
Boxing Men's Light-Heavyweight,Boxing,Summer,2008,28
Boxing Men's Light-Heavyweight,Boxing,Summer,2012,26
Boxing Men's Light-Heavyweight,Boxing,Summer,2016,25
Boxing Men's Light-Middleweight,Boxing,Summer,1952,23
Boxing Men's Light-Middleweight,Boxing,Summer,1956,14
Boxing Men's Light-Middleweight,Boxing,Summer,1960,23
Boxing Men's Light-Middleweight,Boxing,Summer,1964,25
Boxing Men's Light-Middleweight,Boxing,Summer,1968,27
Boxing Men's Light-Middleweight,Boxing,Summer,1972,34
Boxing Men's Light-Middleweight,Boxing,Summer,1976,23
Boxing Men's Light-Middleweight,Boxing,Summer,1980,23
Boxing Men's Light-Middleweight,Boxing,Summer,1984,34
Boxing Men's Light-Middleweight,Boxing,Summer,1988,36
Boxing Men's Light-Middleweight,Boxing,Summer,1992,30
Boxing Men's Light-Middleweight,Boxing,Summer,1996,31
Boxing Men's Light-Middleweight,Boxing,Summer,2000,28
Boxing Men's Light-Welterweight,Boxing,Summer,1952,28
Boxing Men's Light-Welterweight,Boxing,Summer,1956,22
Boxing Men's Light-Welterweight,Boxing,Summer,1960,34
Boxing Men's Light-Welterweight,Boxing,Summer,1964,35
Boxing Men's Light-Welterweight,Boxing,Summer,1968,35
Boxing Men's Light-Welterweight,Boxing,Summer,1972,32
Boxing Men's Light-Welterweight,Boxing,Summer,1976,31
Boxing Men's Light-Welterweight,Boxing,Summer,1980,30
Boxing Men's Light-Welterweight,Boxing,Summer,1984,37
Boxing Men's Light-Welterweight,Boxing,Summer,1988,45
Boxing Men's Light-Welterweight,Boxing,Summer,1992,30
Boxing Men's Light-Welterweight,Boxing,Summer,1996,32
Boxing Men's Light-Welterweight,Boxing,Summer,2000,27
Boxing Men's Light-Welterweight,Boxing,Summer,2004,27
Boxing Men's Light-Welterweight,Boxing,Summer,2008,28
Boxing Men's Light-Welterweight,Boxing,Summer,2012,28
Boxing Men's Light-Welterweight,Boxing,Summer,2016,27
Boxing Men's Lightweight,Boxing,Summer,1904,8
Boxing Men's Lightweight,Boxing,Summer,1908,12
Boxing Men's Lightweight,Boxing,Summer,1920,16
Boxing Men's Lightweight,Boxing,Summer,1924,30
Boxing Men's Lightweight,Boxing,Summer,1928,24
Boxing Men's Lightweight,Boxing,Summer,1932,13
Boxing Men's Lightweight,Boxing,Summer,1936,26
Boxing Men's Lightweight,Boxing,Summer,1948,27
Boxing Men's Lightweight,Boxing,Summer,1952,27
Boxing Men's Lightweight,Boxing,Summer,1956,18
Boxing Men's Lightweight,Boxing,Summer,1960,34
Boxing Men's Lightweight,Boxing,Summer,1964,34
Boxing Men's Lightweight,Boxing,Summer,1968,37
Boxing Men's Lightweight,Boxing,Summer,1972,37
Boxing Men's Lightweight,Boxing,Summer,1976,23
Boxing Men's Lightweight,Boxing,Summer,1980,29
Boxing Men's Lightweight,Boxing,Summer,1984,40
Boxing Men's Lightweight,Boxing,Summer,1988,39
Boxing Men's Lightweight,Boxing,Summer,1992,29
Boxing Men's Lightweight,Boxing,Summer,1996,31
Boxing Men's Lightweight,Boxing,Summer,2000,28
Boxing Men's Lightweight,Boxing,Summer,2004,28
Boxing Men's Lightweight,Boxing,Summer,2008,27
Boxing Men's Lightweight,Boxing,Summer,2012,28
Boxing Men's Lightweight,Boxing,Summer,2016,28
Boxing Men's Middleweight,Boxing,Summer,1904,2
Boxing Men's Middleweight,Boxing,Summer,1908,10
Boxing Men's Middleweight,Boxing,Summer,1920,17
Boxing Men's Middleweight,Boxing,Summer,1924,23
Boxing Men's Middleweight,Boxing,Summer,1928,17
Boxing Men's Middleweight,Boxing,Summer,1932,10
Boxing Men's Middleweight,Boxing,Summer,1936,19
Boxing Men's Middleweight,Boxing,Summer,1948,25
Boxing Men's Middleweight,Boxing,Summer,1952,23
Boxing Men's Middleweight,Boxing,Summer,1956,14
Boxing Men's Middleweight,Boxing,Summer,1960,25
Boxing Men's Middleweight,Boxing,Summer,1964,20
Boxing Men's Middleweight,Boxing,Summer,1968,22
Boxing Men's Middleweight,Boxing,Summer,1972,22
Boxing Men's Middleweight,Boxing,Summer,1976,19
Boxing Men's Middleweight,Boxing,Summer,1980,19
Boxing Men's Middleweight,Boxing,Summer,1984,27
Boxing Men's Middleweight,Boxing,Summer,1988,33
Boxing Men's Middleweight,Boxing,Summer,1992,28
Boxing Men's Middleweight,Boxing,Summer,1996,31
Boxing Men's Middleweight,Boxing,Summer,2000,27
Boxing Men's Middleweight,Boxing,Summer,2004,28
Boxing Men's Middleweight,Boxing,Summer,2008,28
Boxing Men's Middleweight,Boxing,Summer,2012,28
Boxing Men's Middleweight,Boxing,Summer,2016,27
Boxing Men's Super-Heavyweight,Boxing,Summer,1984,11
Boxing Men's Super-Heavyweight,Boxing,Summer,1988,17
Boxing Men's Super-Heavyweight,Boxing,Summer,1992,17
Boxing Men's Super-Heavyweight,Boxing,Summer,1996,19
Boxing Men's Super-Heavyweight,Boxing,Summer,2000,16
Boxing Men's Super-Heavyweight,Boxing,Summer,2004,16
Boxing Men's Super-Heavyweight,Boxing,Summer,2008,16
Boxing Men's Super-Heavyweight,Boxing,Summer,2012,16
Boxing Men's Super-Heavyweight,Boxing,Summer,2016,18
Boxing Men's Welterweight,Boxing,Summer,1904,4
Boxing Men's Welterweight,Boxing,Summer,1920,18
Boxing Men's Welterweight,Boxing,Summer,1924,29
Boxing Men's Welterweight,Boxing,Summer,1928,22
Boxing Men's Welterweight,Boxing,Summer,1932,16
Boxing Men's Welterweight,Boxing,Summer,1936,24
Boxing Men's Welterweight,Boxing,Summer,1948,26
Boxing Men's Welterweight,Boxing,Summer,1952,29
Boxing Men's Welterweight,Boxing,Summer,1956,16
Boxing Men's Welterweight,Boxing,Summer,1960,33
Boxing Men's Welterweight,Boxing,Summer,1964,30
Boxing Men's Welterweight,Boxing,Summer,1968,33
Boxing Men's Welterweight,Boxing,Summer,1972,37
Boxing Men's Welterweight,Boxing,Summer,1976,31
Boxing Men's Welterweight,Boxing,Summer,1980,29
Boxing Men's Welterweight,Boxing,Summer,1984,36
Boxing Men's Welterweight,Boxing,Summer,1988,44
Boxing Men's Welterweight,Boxing,Summer,1992,30
Boxing Men's Welterweight,Boxing,Summer,1996,32
Boxing Men's Welterweight,Boxing,Summer,2000,27
Boxing Men's Welterweight,Boxing,Summer,2004,27
Boxing Men's Welterweight,Boxing,Summer,2008,29
Boxing Men's Welterweight,Boxing,Summer,2012,28
Boxing Men's Welterweight,Boxing,Summer,2016,28
Boxing Women's Flyweight,Boxing,Summer,2012,12
Boxing Women's Flyweight,Boxing,Summer,2016,12
Boxing Women's Lightweight,Boxing,Summer,2012,12
Boxing Women's Lightweight,Boxing,Summer,2016,12
Boxing Women's Middleweight,Boxing,Summer,2012,12
Boxing Women's Middleweight,Boxing,Summer,2016,12
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,1936,10
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,1948,16
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,1952,22
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,1956,20
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,1960,22
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,1964,24
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,1968,26
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,1972,32
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,1976,30
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,1980,22
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,1984,20
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,1988,34
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,1992,28
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,1996,34
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,2000,28
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,2004,28
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,2008,26
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,2012,24
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing,Summer,2016,22
"Canoeing Men's Canadian Doubles, 10,000 metres",Canoeing,Summer,1936,10
"Canoeing Men's Canadian Doubles, 10,000 metres",Canoeing,Summer,1948,12
"Canoeing Men's Canadian Doubles, 10,000 metres",Canoeing,Summer,1952,18
"Canoeing Men's Canadian Doubles, 10,000 metres",Canoeing,Summer,1956,20
"Canoeing Men's Canadian Doubles, 500 metres",Canoeing,Summer,1976,30
"Canoeing Men's Canadian Doubles, 500 metres",Canoeing,Summer,1980,20
"Canoeing Men's Canadian Doubles, 500 metres",Canoeing,Summer,1984,22
"Canoeing Men's Canadian Doubles, 500 metres",Canoeing,Summer,1988,34
"Canoeing Men's Canadian Doubles, 500 metres",Canoeing,Summer,1992,30
"Canoeing Men's Canadian Doubles, 500 metres",Canoeing,Summer,1996,38
"Canoeing Men's Canadian Doubles, 500 metres",Canoeing,Summer,2000,30
"Canoeing Men's Canadian Doubles, 500 metres",Canoeing,Summer,2004,28
"Canoeing Men's Canadian Doubles, 500 metres",Canoeing,Summer,2008,30
"Canoeing Men's Canadian Doubles, Slalom",Canoeing,Summer,1972,40
"Canoeing Men's Canadian Doubles, Slalom",Canoeing,Summer,1992,34
"Canoeing Men's Canadian Doubles, Slalom",Canoeing,Summer,1996,30
"Canoeing Men's Canadian Doubles, Slalom",Canoeing,Summer,2000,24
"Canoeing Men's Canadian Doubles, Slalom",Canoeing,Summer,2004,24
"Canoeing Men's Canadian Doubles, Slalom",Canoeing,Summer,2008,24
"Canoeing Men's Canadian Doubles, Slalom",Canoeing,Summer,2012,28
"Canoeing Men's Canadian Doubles, Slalom",Canoeing,Summer,2016,24
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,1936,6
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,1948,6
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,1952,10
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,1956,9
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,1960,13
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,1964,11
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,1968,11
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,1972,13
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,1976,15
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,1980,12
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,1984,11
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,1988,15
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,1992,19
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,1996,18
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,2000,18
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,2004,19
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,2008,22
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,2012,17
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,Summer,2016,19
"Canoeing Men's Canadian Singles, 10,000 metres",Canoeing,Summer,1948,5
"Canoeing Men's Canadian Singles, 10,000 metres",Canoeing,Summer,1952,10
"Canoeing Men's Canadian Singles, 10,000 metres",Canoeing,Summer,1956,9
"Canoeing Men's Canadian Singles, 200 metres",Canoeing,Summer,2012,25
"Canoeing Men's Canadian Singles, 200 metres",Canoeing,Summer,2016,25
"Canoeing Men's Canadian Singles, 500 metres",Canoeing,Summer,1976,15
"Canoeing Men's Canadian Singles, 500 metres",Canoeing,Summer,1980,11
"Canoeing Men's Canadian Singles, 500 metres",Canoeing,Summer,1984,13
"Canoeing Men's Canadian Singles, 500 metres",Canoeing,Summer,1988,15
"Canoeing Men's Canadian Singles, 500 metres",Canoeing,Summer,1992,19
"Canoeing Men's Canadian Singles, 500 metres",Canoeing,Summer,1996,17
"Canoeing Men's Canadian Singles, 500 metres",Canoeing,Summer,2000,18
"Canoeing Men's Canadian Singles, 500 metres",Canoeing,Summer,2004,19
"Canoeing Men's Canadian Singles, 500 metres",Canoeing,Summer,2008,22
"Canoeing Men's Canadian Singles, Slalom",Canoeing,Summer,1972,22
"Canoeing Men's Canadian Singles, Slalom",Canoeing,Summer,1992,31
"Canoeing Men's Canadian Singles, Slalom",Canoeing,Summer,1996,30
"Canoeing Men's Canadian Singles, Slalom",Canoeing,Summer,2000,16
"Canoeing Men's Canadian Singles, Slalom",Canoeing,Summer,2004,16
"Canoeing Men's Canadian Singles, Slalom",Canoeing,Summer,2008,16
"Canoeing Men's Canadian Singles, Slalom",Canoeing,Summer,2012,17
"Canoeing Men's Canadian Singles, Slalom",Canoeing,Summer,2016,19
"Canoeing Men's Folding Kayak Doubles, 10 kilometres",Canoeing,Summer,1936,26
"Canoeing Men's Folding Kayak Singles, 10 kilometres",Canoeing,Summer,1936,13
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,1936,24
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,1948,32
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,1952,38
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,1956,30
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,1960,46
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,1964,28
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,1968,34
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,1972,50
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,1976,48
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,1980,32
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,1984,34
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,1988,40
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,1992,54
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,1996,48
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,2000,36
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,2004,32
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,2008,28
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,2012,24
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,Summer,2016,24
"Canoeing Men's Kayak Doubles, 10,000 metres",Canoeing,Summer,1936,24
"Canoeing Men's Kayak Doubles, 10,000 metres",Canoeing,Summer,1948,30
"Canoeing Men's Kayak Doubles, 10,000 metres",Canoeing,Summer,1952,36
"Canoeing Men's Kayak Doubles, 10,000 metres",Canoeing,Summer,1956,24
"Canoeing Men's Kayak Doubles, 200 metres",Canoeing,Summer,2012,26
"Canoeing Men's Kayak Doubles, 200 metres",Canoeing,Summer,2016,26
"Canoeing Men's Kayak Doubles, 500 metres",Canoeing,Summer,1976,42
"Canoeing Men's Kayak Doubles, 500 metres",Canoeing,Summer,1980,36
"Canoeing Men's Kayak Doubles, 500 metres",Canoeing,Summer,1984,42
"Canoeing Men's Kayak Doubles, 500 metres",Canoeing,Summer,1988,44
"Canoeing Men's Kayak Doubles, 500 metres",Canoeing,Summer,1992,60
"Canoeing Men's Kayak Doubles, 500 metres",Canoeing,Summer,1996,46
"Canoeing Men's Kayak Doubles, 500 metres",Canoeing,Summer,2000,38
